numTries,size,x1,x2,fmin,time
1,1,0.219789012404014,0.975547430946578,-2.50078019873748,0.06626775
2,1,0.231835632865489,0.972754973944548,-2.5007976819237,0.104937792
3,1,0.228563810813667,0.973528933512679,-2.50080201225131,0.16972225
4,1,0.227134116583124,0.973863487909883,-2.50080177517078,0.239756541
1,1,-1,0,-3.35050470324984,0.057797084
2,1,-1,0,-3.35050470324984,0.130828083
3,1,-1,0,-3.35050470324984,0.166755917
4,1,-1,0,-3.35050470324984,0.237720041
1,1,1,0,-2.89482568895461,0.049244166
2,1,1,0,-2.89482568895461,0.105926166
3,1,1,0,-2.89482568895461,0.159492125
4,1,1,0,-2.89482568895461,0.204874458
1,1,1,0,-2.77024676986781,0.04872225
2,1,1,0,-2.77024676986781,0.122139875
3,1,1,0,-2.77024676986781,0.177739458
4,1,1,0,-2.77024676986781,0.221554208
1,1,0.0829402834678369,0.996554519019544,-2.47224337474777,0.058826416
2,1,0.082178173360629,0.996617653778574,-2.47224422190291,0.140800292
3,1,0.0830826967814911,0.996542656134455,-2.47224317781587,0.144970375
4,1,0.0759221745019627,0.997113746479755,-2.47223801839223,0.230560667
1,1,-0.612230348495096,0.790679454887739,-2.85624123357527,0.057898709
2,1,-0.607500729393203,0.794319119615489,-2.85624304973715,0.101180625
3,1,-0.612632762864283,0.790367697888315,-2.85624000728462,0.191306084
4,1,-0.607197332181894,0.794551068082594,-2.85624237795544,0.216192916
1,1,-0.666848935059213,0.74519292657029,-2.43896894662934,0.0653245
2,1,-0.670140595154421,0.742234183210446,-2.43896493214851,0.095838791
3,1,-0.669887664611527,0.742462468277902,-2.43896565179633,0.167858458
4,1,-0.669035509722508,0.743230439857211,-2.43896757125679,0.195382
1,1,1,0,-2.71276894648859,0.050058292
2,1,1,0,-2.71276894648859,0.089865792
3,1,1,0,-2.71276894648859,0.129490375
4,1,1,0,-2.71276894648859,0.176195917
1,1,-0.560040311417952,0.828465358109126,-2.15544946208743,0.058188041
2,1,-0.555698006703288,0.831384222454331,-2.15546758771477,0.088218167
3,1,-0.554634721933848,0.832093940144599,-2.15546978557878,0.191674292
4,1,-0.548776259831748,0.835969267763521,-2.15546623045048,0.206153167
1,1,1,0,-2.91372625972868,0.045291666
2,1,1,0,-2.91372625972868,0.08573325
3,1,1,0,-2.91372625972868,0.133840833
4,1,1,0,-2.91372625972868,0.196280917
1,11,-0.528472442689319,0.666940548058608,-1.30978995600793,0.027218083
2,11,-0.528770727748256,0.666897358767583,-1.30973354819281,0.05091475
3,11,-0.528841291951463,0.666816530036954,-1.30978697215002,0.086659708
4,11,-0.528821428064577,0.666885654882946,-1.30972809182979,0.102084042
1,11,-0.929113455332863,0,-0.90523305102103,0.1997125
2,11,-0.927904419175207,0,-0.904181247013478,0.094527667
3,11,-0.928470929933549,0,-0.904674035531884,0.625905834
4,11,-0.991080092379816,0.133267589789922,-0.905401028673431,1.8150315
1,11,-0.865328731563634,0.248426724396846,-1.17984784987009,0.0196465
2,11,-0.865152628999538,0.248523181614739,-1.17979357861159,0.036230334
3,11,-0.865191835872955,0.2485120810612,-1.17979555148909,0.073746917
4,11,-0.865150858614017,0.248472085845997,-1.17983223819035,0.080924125
1,11,-0.408090327264886,0,-0.864844296008728,0.031732666
2,11,-0.408480598369185,0,-0.865082733228048,0.1212915
3,11,-0.408530114817139,0,-0.865112993328129,0.108472333
4,11,-0.40827612592254,0,-0.864957796452888,0.159387875
1,11,-0.138556401923936,0.990354544335458,-1.39456051537013,0.048183833
2,11,-0.133284073985033,0.991077875659603,-1.39517151968354,0.183105125
3,11,-0.138324965293226,0.990386896105067,-1.39458751568862,0.172555791
4,11,-0.138585602765915,0.990350458527691,-1.3945571075121,0.297054125
1,11,-1,0,-0.550807551891477,0.542470916
2,11,-0.205718531826146,0,-0.44475065880271,0.424297417
3,11,-1,0,-0.550807551891477,1.590731833
4,11,0.876740946090604,0.480962902361661,-0.750795111883622,1.172121083
1,11,0.261148410644284,0.372965060802457,-0.951029265632696,0.015287
2,11,0.261153435153229,0.373072601663055,-0.951009483752804,0.030645208
3,11,0.261090831154205,0.372966679403413,-0.951086073538631,0.056943917
4,11,0.261152949955081,0.372938732666109,-0.95102839601554,0.06016325
1,11,0.656900860040394,0.55733315631798,-0.766018525308112,0.056642916
2,11,0.660649356965271,0.558175240920122,-0.765145358666022,0.033910042
3,11,0.660250835916886,0.558107994657612,-0.765257398350802,0.088203958
4,11,0.660232234847091,0.558128760454413,-0.765284174696827,0.084034583
1,11,0.800052661925447,0,-0.889903268135483,0.151540375
2,11,0.794234854261608,0,-0.887173679400778,0.1263995
3,11,0.794283693446718,0,-0.887196469849461,0.254311083
4,11,0.794468544415673,0,-0.887282748244741,0.30328375
1,11,-0.113794093031202,0.554073407672468,-1.2806229745575,0.022189875
2,11,-0.113806412494316,0.554215926389478,-1.28063830220384,0.040464833
3,11,-0.113787962963832,0.554126314348013,-1.28061796174861,0.055392292
4,11,-0.113729778481672,0.554284073517643,-1.28056313078408,0.077459459
1,21,0.107487277170011,0.1420199212331,-0.650086612120462,0.081373917
2,21,0.109526888292256,0.136953590189667,-0.648479011031296,0.103229167
3,21,0.111066636771386,0.133842766355086,-0.647737595692378,0.103228292
4,21,0.194506445289894,0,-0.644594945975041,0.687258875
1,21,-0.225673046478251,0.505529504104993,-1.10673641796997,0.041192917
2,21,-0.225779838355613,0.505254664053369,-1.10665439979514,0.066861834
3,21,-0.225767232429516,0.505687625858263,-1.10662862045411,0.11416825
4,21,-0.225762367334685,0.505571624099226,-1.10664372108795,0.1674425
1,21,-0.91698232143233,0.297866258074475,-0.682847097861286,0.110366041
2,21,-0.916628023266912,0.298206558086506,-0.683140672463278,1.269970084
3,21,-0.916462368536212,0.2984376432713,-0.683349434518952,0.87232375
4,21,1,0,-0.806483692289234,0.387960875
1,21,-1,0,-0.205235343291165,0.501883417
2,21,0.249090264525337,0.0224183618708867,-0.826385725300295,0.142328375
3,21,0.246467232638494,0.0194825625312264,-0.825977094226481,0.0814325
4,21,0.246614070258716,0.0195875889355137,-0.825955663052636,0.153199791
1,21,-0.676286369594998,0.736638816720934,-0.925755043533275,0.075206667
2,21,-0.675032189736926,0.737788277772812,-0.924744539093902,0.094743667
3,21,-0.67498320596986,0.737833092005671,-0.924705098192643,0.158281416
4,21,-0.674992068099393,0.737824984669741,-0.924712233686228,0.152451542
1,21,0.749405599673461,0,-0.835786238672069,0.087512292
2,21,0.751274639220417,0,-0.837261320544186,0.115076958
3,21,0.749402215273979,0,-0.835783569068799,0.092878875
4,21,0.749397080578585,0,-0.835779518847711,0.107131541
1,21,-0.238815491139711,0.557728124207196,-1.11917421668659,0.017335417
2,21,-0.238786414770013,0.557632877516672,-1.11922443360637,0.02513675
3,21,-0.238911754805854,0.557540785361762,-1.11912366423728,0.041834959
4,21,-0.238926470080226,0.557708168413514,-1.11907080899792,0.069231791
1,21,0.0568453505479302,0.0453706600485501,-0.668356058031843,0.016186208
2,21,0.0579825286885246,0.0461256523358831,-0.667080154957244,0.034438292
3,21,0.0581278588197728,0.0458882867625441,-0.666990826788995,0.0364395
4,21,0.0581578269641121,0.0459807208136746,-0.666941176061089,0.065726833
1,21,-0.860818118072936,0.508912730826581,-0.666603498952871,0.046795042
2,21,-0.456689996478779,0,-0.641976570786613,0.726168083
