type,size,x1,x2,fmin,time
1,1,-0.911370498688074,0.411586946004184,-2.92800281650331,0.352703
1,1,0.459723641497698,0.888062032432474,-2.45399658134468,0.243946083
1,1,1,0,-2.89719150042929,0.107958167
1,1,0.727305872030997,0.686313462281799,-3.17122831385951,0.088744792
1,1,1,0,-2.26489153530323,0.12169575
1,1,0.973287774454292,0.229588562645901,-2.67731910643488,0.1169125
1,1,-0.235580209174358,0.971854909461986,-2.81633002169756,0.11109825
1,1,0.748657101864943,0.66295742233358,-2.50598991777869,0.178866292
1,1,1,0,-1.59312929833393,0.151454125
1,1,-0.977872446942304,0.209202001689922,-1.74093504280131,0.189073458
1,11,-0.503122960429858,0.230532368316296,-1.05167286842316,0.04850775
1,11,0.929653250413278,0,-1.10165190530649,0.114424458
1,11,-0.0726530218693895,0.660130494989865,-1.25979923766963,0.025731375
1,11,-0.097215324730354,0,-1.08706757444703,0.056137708
1,11,0.921243713440122,0.388985887208077,-0.919988332865725,0.665184709
1,11,-0.104019871108815,0.27595396604298,-0.953463539051198,0.174574792
1,11,-1,0,-0.276724312637477,1.193253666
1,11,-1,0,-1.24721158568222,0.454717875
1,11,0.692233716128886,0.482995427204894,-0.733101977719252,0.301317667
1,11,-1,0,-1.29623476650284,0.304198541
1,21,-1,0,-0.616194989439375,3.890646083
1,21,0.773144450727047,0.122000132365071,-1.23251415782777,0.075283667
1,21,-1,0,-0.302893452435853,0.430109208
1,21,0.909547947874755,0.0235414138997538,-0.879654899400375,0.054168625
1,21,0.495054475603902,0.725266454652031,-0.923800235356185,0.042423292
1,21,-0.90992117769212,0.0793709148638835,-0.931581075028918,0.0492605
1,21,0.278439840414183,0.713449050335542,-0.870352277230008,0.234474958
1,21,-1,0,-0.449129712580307,0.287053458
1,21,-1,0,-0.470871286722946,0.299164541
1,21,0.0358062702429064,0,-0.834494071593503,0.072552833
1,31,0.780239600251318,0,-0.647979828063781,0.138190208
1,31,-0.402462126442815,0,-0.805256284968214,0.125455458
1,31,-0.877376238240813,0,-1.18499760622238,0.048146833
1,31,-1,0,-0.112054908123726,0.908518875
1,31,0.654036865790702,0.703104269203528,-0.807252458166509,0.043525542
1,31,-1,0,-0.0660986550283475,0.319477458
1,31,0.160390619305777,0.499433020284877,-0.876135875632373,0.047101958
1,31,0.223793746168053,0.905502825894964,-0.569436298870984,0.091687416
1,31,0.271637577571606,0,-0.632110554784432,0.139348792
1,31,-1,0,-0.62728292509857,0.293764083
1,41,0.0326529199835143,0.99946675123115,-0.554795378958195,0.252843375
1,41,0.0476936659838324,0.715205087601535,-0.635965790422249,0.145161625
1,41,0.647867965100993,0.187317113904671,-0.513802136272453,0.041654334
1,41,0.336201156961732,0.555648801497031,-0.707217820191471,0.082763292
1,41,-0.396785999526911,0.670173014197537,-0.584156165395267,0.16772675
1,41,0.203294529646376,0.631166810242639,-0.537882615900645,0.098023667
1,41,-1,0,-0.239171157236669,0.505439792
1,41,-1,0,-0.153740499087201,0.434167417
1,41,-0.147321885920541,0.495322375683871,-0.499454106887307,0.041388542
1,41,-0.524288450736785,0.291026430714589,-0.826361733116808,0.352290125
1,51,0.026501094971956,0.960212326020321,-0.583631309715595,0.196353333
1,51,-0.589080852205281,0.490161606322932,-0.667962074842624,0.108130708
1,51,0.648772199474775,0.760982676010869,-0.781257227991789,0.126380166
1,51,-1,0,-0.354608948809699,0.344321458
1,51,0.0798092338170959,0,-0.405487376008432,0.103738625
1,51,0.538263778230183,0.0468328686647935,-0.51933527703566,0.10666225
1,51,-0.0140486856336309,0.588742700835431,-0.797278708795953,0.052411916
1,51,-0.814108821324012,0.427262910324505,-0.475459970877904,0.394580417
1,51,0.551841754812754,0,-0.599488081856805,0.21915625
1,51,0.674683362177292,0,-0.544222622568156,0.057755791
1,61,-0.630850155248199,0.166432842792915,-0.412363205187746,0.229665667
1,61,-0.212309536790321,0.97720246652773,-0.572489633977232,0.039788125
1,61,0.39738064131655,0.761741026224695,-0.285393150630207,0.322996292
1,61,-0.232252436144472,0.753629616567876,-0.363699446366944,0.239702833
1,61,-0.833357142649502,0,-0.649254584203347,0.149783583
1,61,-0.750795236325301,0.0114987360761857,-0.282453109949192,1.500863334
1,61,-0.429471685523128,0.145933875088634,-0.665240251799724,0.075214958
1,61,-0.57386705934821,0.0363170724525279,-0.684145085848044,0.038140292
1,61,-1,0,-0.2532706651371,0.803531
1,61,-0.237572998643217,0.887882443942124,-0.463133720886966,0.288571209
1,71,-0.106195773042221,0.829250249170962,-0.455249221625118,0.291721875
1,71,-0.174430985474317,0.782173120228408,-0.543934711442387,0.256170916
1,71,-0.179654415627801,0,-0.550009346642273,0.173719291
1,71,-1,0,-0.0823843632497794,0.331546333
1,71,-1,0,-0.0864886618634531,0.484145542
1,71,-1,0,-0.21033047586177,1.014235083
1,71,-1,0,-0.491825763266377,0.928192083
1,71,-0.164683609568184,0.528108932957622,-0.444453476867577,0.358377167
1,71,-0.768108329590806,0.558102348143478,-0.352296542500762,0.078770875
1,71,-0.206214203199279,0,-0.544768470484723,0.173373375
1,81,-1,0,-0.222448652991954,0.757581042
1,81,0.854141860331594,0.480961732038229,-0.688925182236521,0.231167042
1,81,-0.210882083062851,0.123056213923027,-0.699357308173431,1.189891167
1,81,-1,0,-0.255063163439329,0.570767416
1,81,0.448072929833305,0.773816695830633,-0.491292663577855,0.130924583
1,81,-1,0,-0.0811641538159509,0.578510916
1,81,-1,0,-0.203550030671796,0.588231208
1,81,-0.748939389846889,0.344128475012095,-0.452654682331105,0.14501525
1,81,0.877196211887927,0.454880006060104,-0.463837168333643,0.103586959
1,81,-1,0,-0.24003158861366,1.131514417
1,91,-0.500311312478405,0.744751151594849,-0.548233805241917,0.244369042
1,91,0.0799936322497552,0.161938605613281,-0.306306385400529,0.130099833
1,91,0.609902479069891,0.14471399432149,-0.579706686344765,0.071432875
1,91,0.674146168522535,0.282099000404109,-0.331008943868319,0.396189792
1,91,-1,0,-0.216537622286406,0.327699083
1,91,-1,0,-0.161376434667815,0.518175292
1,91,0.374518904396847,0.0545171378935254,-0.351552366250166,0.185183917
1,91,-0.28936992319291,0.0751578030135983,-0.576630883579516,0.043775916
1,91,0.295796769712019,0.639828982050561,-0.647579638453126,0.10993875
1,91,-0.203198709409465,0.45754888825756,-0.50212758680029,0.242521583
1,101,-1,0,-0.228935412503437,0.53263325
1,101,-0.161834887461616,0,-0.464711426839047,0.725988625
1,101,-0.622394127746657,0.671013117117943,-0.512634926980472,0.264687542
1,101,0.32590307742678,0.520072448775203,-0.356355350752185,0.163401416
1,101,-0.921292982888202,0.203090598226634,-0.504735891750601,0.06137975
1,101,0.929010028851603,0,-0.389767091893561,0.075624417
1,101,-0.765993170005618,0,-0.270680592655725,0.9072255
1,101,-1,0,-0.0763719019405848,0.405412833
1,101,-0.214897618669268,0.0407720051590478,-0.585598992162215,0.21228375
1,101,0.803696109316207,0.0722863622397547,-0.462347811778892,0.092284958
1,111,-1,0,-0.0561939013159927,0.2491575
1,111,-1,0,-0.072294366947574,0.793055208
1,111,-1,0,-0.177235932197616,0.524165541
1,111,-0.351667417779579,0.108136159348888,-0.230397255566534,0.108253
1,111,-0.0580694384059577,0.365661769883282,-0.336701501674313,0.136272333
1,111,-1,0,-0.129139172819135,1.103553334
1,111,0.73053939813662,0.49499635684015,-0.352591772631455,0.069487792
1,111,0.149826098811687,0.848707253414949,-0.439147683731542,0.05973975
1,111,-1,0,-0.11622741202629,0.555456875
1,111,0.134925586968834,0.198040192370881,-0.431144488515373,0.204531875
1,121,-0.736901189873294,0.183901234183138,-0.570666218979077,0.117619125
1,121,-1,0,-0.22011499491871,0.601497125
1,121,-0.664272836880237,0.205282370928709,-0.627490009352158,0.119487417
1,121,-0.78679348960184,0.0859533691727895,-0.342723298455074,0.66273825
1,121,0.430160790879851,0.12565466491394,-0.433528910597107,0.159902167
1,121,0.974746857095368,0.206137872527651,-0.52488841654634,0.600554583
1,121,-1,0,-0.2106181735564,0.799460875
1,121,0.202040814608283,0.636299890070567,-0.367092604079276,0.383742416
1,121,-1,0,-0.1726048939698,0.696432375
1,121,-1,0,-0.0942455019397128,0.536800458
1,131,-1,0,-0.234693632712504,0.577144958
1,131,-0.278661014699512,0,-0.348446188244507,0.10270425
1,131,-1,0,-0.218043885255689,0.40291475
1,131,-1,0,-0.130954011582283,0.411397792
1,131,-0.258607854317538,0.883507025928621,-0.456417282793357,0.104031583
1,131,-1,0,-0.318858562649039,0.884739209
1,131,0.56227892251327,0.0997916639396441,-0.493625079729703,0.085174125
1,131,-1,0,-0.23650459244565,0.630878458
1,131,-1,0,-0.0817990157720801,2.044145167
1,131,-0.127675630932971,0.3048164274213,-0.43249061757808,0.116833333
1,141,0.123520746420222,0.111656371289279,-0.40878252029343,0.130068917
1,141,-1,0,-0.136116249144345,0.6201005
1,141,0.648130274706537,0.0260864692383045,-0.350120312139703,0.091653042
1,141,0.274507540860441,0.24558121347692,-0.404485818355771,0.087131959
1,141,-0.892287291693628,0,-0.4197635588183,0.179782167
1,141,-1,0,-0.201264699344492,0.526154333
1,141,-1,0,-0.221970089626009,0.951768
1,141,0.522975162772499,0.41459507866072,-0.403446489638098,0.096527583
1,141,-1,0,-0.176056866389115,1.606619
1,141,0.573005643033821,0.163270857540136,-0.351820925366753,0.1941765
1,151,0.224702835762706,0.265639142522655,-0.546868660360827,0.232868334
1,151,-0.768830704942967,0.436306770549447,-0.318322976021005,0.081003958
1,151,-0.334989101659968,0.795048237266563,-0.505598629056272,0.151787291
1,151,-1,0,-0.182771484285956,1.326172791
1,151,0.0145853629901807,0.802015522083717,-0.332755476608136,0.187096958
1,151,-1,0,-0.284061026953364,0.612108875
1,151,-1,0,-0.217667387525507,0.415335
1,151,0.482320764490249,0.0500508470646051,-0.333141176107799,0.863422166
1,151,0.0343807687916589,0.594089298921013,-0.418802815831643,0.240867083
1,151,0.439662225258329,0.894113778043151,-0.30932838884663,0.566213875
1,161,-1,0,-0.168364490928372,1.251351875
1,161,0.0409983324363803,0.213014591497944,-0.347116479492275,0.179880792
1,161,-0.864273836836244,0.0727079566747536,-0.436719597230906,0.156417708
1,161,-1,0,-0.191766882822362,0.8761875
1,161,-1,0,-0.078051127835098,0.611301
1,161,-0.251311533295905,0,-0.480714164071637,0.189863375
1,161,0.222295282146916,0.62354119000778,-0.361543158086198,0.471831167
1,161,-1,0,-0.203950305810114,0.668929208
1,161,-0.000942357277341529,0.550181459289693,-0.206603231248733,0.971688792
1,161,-1,0,-0.155717421688874,0.423138625
1,171,-0.38941063024451,0.839527938666194,-0.362146221067111,0.364851417
1,171,-0.220455096112546,0.424685598116668,-0.494740777560906,0.270146375
1,171,0.833098959734106,0.10216730502049,-0.392764814084549,1.017885917
1,171,-0.351035202957608,0.139314705512155,-0.369925834407401,0.09436175
1,171,0.166971477239034,0.94738595719822,-0.349572792183582,0.752406584
1,171,-1,0,-0.0857523427300467,0.832544917
1,171,-1,0,-0.0356146755879051,0.615049208
1,171,-1,0,-0.208872181597196,1.422107
1,171,-0.315554633063685,0.305558389231708,-0.408838669140107,0.916353917
1,171,-1,0,-0.180594555812823,0.385415041
1,181,-1,0,-0.171289779135825,1.060953334
1,181,-0.10574303379631,0.208386114657285,-0.23339228357246,0.469901208
1,181,0.795150412083222,0.431119883794035,-0.403261305865229,0.090286292
1,181,-1,0,-0.129013940129712,0.52060625
1,181,0.0631835763641921,0.16376097267652,-0.358076364486745,0.137750833
1,181,-1,0,-0.0847266234014592,0.68342475
1,181,-1,0,-0.287853279539244,1.084879166
1,181,-1,0,-0.245159737571218,0.606610833
1,181,-1,0,-0.177902468957258,1.213433792
1,181,-0.401308246250307,0.644479992986935,-0.354089040594958,0.115803792
1,191,-1,0,-0.149526270740501,0.715483083
1,191,-1,0,-0.148342353395857,0.609060083
1,191,-1,0,-0.0919700605647656,1.214030958
1,191,-0.667409904112288,0.453124071645261,-0.298673449970857,1.151847208
1,191,0.289484072931062,0,-0.236418832239917,0.17165675
1,191,0.305663584703174,0.220154975271923,-0.291410755188085,0.1160595
1,191,-0.0917300057837065,0.51079489991227,-0.23285514200471,0.309023209
1,191,0.254388485693847,0.461470111905993,-0.309278854232406,0.185243125
1,191,-1,0,-0.0315538268532053,1.082637
1,191,-0.17463079354203,0.6268140660651,-0.349370043088687,0.078274333
2,1,0.689892573720905,0.723911760316646,-3.36905132581086,0.118127417
2,1,0.999999946521392,0.000327043136910004,-2.47792853071219,0.098230375
2,1,0.531363937849015,0.847143651073174,-3.2170017690714,0.095948709
2,1,0.956696498611932,0.291087288529867,-2.9620831860742,0.112173917
2,1,1,0,-1.64433229442565,0.135537375
2,1,-1,0,-1.86636337896081,0.089975458
