type,size,x1,x2,fmin,time
1,1,0.97243625405497,0.0205176154440651,-1.83644621009264,0.284675042
2,1,1,0,-1.86943883947922,0.131616041
5,1,-1,0,-1.72275867988227,0.611167917
3,1,0.9728779417786,0.0202158535439098,-1.8369529088824,1.692742916
4,1,-0.999999206353094,4.63122091380766e-07,-1.72275787988296,0.083186958
1,1,-0.9754988775735,0.0215881613596719,-2.30157634689302,0.274874666
2,1,1,0,-1.79079123634238,0.149640042
5,1,-1,0,-2.33400733929596,1.51480125
3,1,-0.975472403940175,0.0216012759774926,-2.30154891458375,1.227081
4,1,-0.999999970083718,2.68965664762283e-08,-2.33400729929391,0.022750333
1,1,0.980122541223077,0.0301822971087872,-2.26995504844481,0.217546875
2,1,1,0,-2.30280201878074,0.122593334
5,1,-1,0,-1.22720768066377,1.698288417
3,1,0.980447694905193,0.0296932778656479,-2.27048907455904,0.902561
4,1,0.999999976372001,3.75613063295067e-08,-2.30280197878074,0.014462667
1,1,0.549695532298443,0.812032942921798,-3.19684970766498,0.195864541
2,1,0.576960528189055,0.816772029951937,-3.21639160568143,0.154852292
5,1,-1,0,-1.83162482970127,0.89470625
3,1,0.548189973713608,0.812586537671491,-3.19644307058443,2.578766667
4,1,0.576961032652469,0.816771649112568,-3.21639158567818,0.013695166
1,1,-0.5682568290721,0.800035043593236,-1.66850338934135,0.214713375
2,1,-0.606302080265122,0.795234422963559,-1.68742295381603,0.188168833
5,1,-1,0,-1.51859016908392,0.591843917
3,1,-0.56877844445353,0.800888867500095,-1.66950048637996,5.463499292
4,1,-0.606296777646624,0.795237962760965,-1.68742255382273,0.027081625
1,11,-0.00118150325815617,0.0625378209491881,-0.817306279203429,0.27008875
2,11,-0.0501825068728383,0.112542377509397,-0.824059300517442,0.093108667
5,11,-1,0,-0.421947767377487,2.4043935
3,11,-0.00108226492283172,0.0621734694281832,-0.817472400372301,0.71924
4,11,0.0173400880057475,0.304750840668531,-0.646836384375454,0.053231958
1,11,0.931621675993908,0.312041126906892,-0.691566478975221,0.307572166
2,11,0.220648762608612,0.90011547708597,-0.648489081881473,0.097779459
5,11,-1,0,-1.0073359470439,0.693702291
3,11,0.931530688006518,0.316818606864807,-0.693496720518438,1.633114792
4,11,-0.999999580854715,1.33887319581851e-06,-1.00733514704347,0.013793208
1,11,-0.72664571230546,0.0189472838751594,-1.308880954819,0.3068325
2,11,0.999697708265858,0.0245864208048155,-1.23041114896582,0.0801125
5,11,-1,0,-1.15648955755398,1.390784375
3,11,-0.726655272628227,0.0186217441609068,-1.30920149898276,1.179582958
4,11,0.999772847162243,0.0212776084160194,-1.23304613356848,0.04351425
1,11,-0.177295575096831,0.943192468823131,-0.682703496497867,0.340314333
2,11,-0.981936041932821,0,-0.574840752940274,0.126683667
5,11,-1,0,-0.567056622643564,2.252267
3,11,-0.180463515141448,0.947061061236029,-0.684352525137456,1.480223125
4,11,-0.203364800818858,0.979102999724725,-0.700811462186905,0.02915275
1,11,-0.436881184118665,0.0747769549354292,-1.3849215651879,0.291829542
2,11,-0.399877680318307,0.0745367941235709,-1.40888216360772,0.071257
5,11,-1,0,-1.14135770557583,2.642379125
3,11,-0.435902631351981,0.074407577984611,-1.38586833865746,0.853688167
4,11,-0.396248701737353,0.0774565559020599,-1.4116464711984,0.026074041
1,21,-0.831890061144203,0.0322244171115463,-1.10883298806804,0.544109416
2,21,-0.771624338125755,0,-1.13533591451777,0.132228958
5,21,-1,0,-0.974715055873164,4.758479959
3,21,0.596978162937775,0.695301874606334,-0.477763029356812,0.920195125
4,21,-0.789330514442063,3.75196920205461e-07,-1.13662054313158,0.041265375
1,21,0.246188109577165,0.694566990824349,-1.08426954143116,0.376462042
2,21,0.257058892476232,0.703451751850058,-1.09734761649859,0.075509458
5,21,-1,0,-0.237245356230689,4.301752541
3,21,0.245933385653459,0.693671780797942,-1.08336413426486,0.737030416
4,21,0.256957192030323,0.709565538816213,-1.10262061663796,0.024177125
1,21,0.718347724591512,0.0679079494766034,-0.566593135049322,0.387605083
2,21,-0.781781657642885,0.0899195904184381,-0.728575266738756,0.088556583
5,21,-1,0,-0.646056692600064,1.249180417
3,21,-0.787054692394158,0.103634904207604,-0.715996394014556,0.905237166
4,21,0.689408727568108,0.110051570477335,-0.586348058601431,0.0273575
1,21,0.0397162225383578,0.947594982392702,-1.0911288883057,0.289824125
2,21,0.0260850481440378,0.999659727238886,-1.09950171916303,0.121878125
5,21,-1,0,-0.422022074196754,4.595693833
3,21,0.0399808924566465,0.946597539830487,-1.09099704216077,0.674502166
4,21,0.0277719346465367,0.999612622322513,-1.10101078559072,0.022845208
1,21,-0.916860061327828,0.318366000150215,-0.952125950198542,0.474861083
2,21,-0.287657527983317,0.060401438240893,-0.834699813901596,0.124087542
5,21,-1,0,-0.681927405859457,1.796823584
3,21,-0.91588353784653,0.318495338638121,-0.951263588348255,1.37018225
4,21,-0.947186505038058,0.320683125020578,-0.975351772708619,0.026213625
1,31,0.977429735208861,0.0774572882828876,-1.05359324683174,0.560024333
