type,size,x1,x2,fmin,time
2,1,0.985603041337011,0.16907585548278,-2.98216307168464,0.202314292
4,1,0.985601973230018,0.169079716010656,-2.98216267168104,0.062514292
5,1,0.985601920633612,0.169080394462753,-2.98216273825909,0.079561208
6,1,0.985601956163908,0.169080200123527,-2.98216273799313,0.238298792
2,1,-0.74704301356912,0.664775703435051,-3.66158630512883,0.151503334
4,1,-0.747051523722751,0.664766109916576,-3.66158628519219,0.010173209
5,1,-0.747052050986683,0.664765517392542,-3.66158628519623,0.145861542
6,1,-0.747052099267772,0.664765463135389,-3.66158628519644,0.214057584
2,1,1,0,-2.18606928559118,0.1379015
4,1,0.999999965726362,2.46279568138576e-08,-2.18606924559118,0.011332458
5,1,-0.999999947066095,2.16051034347082e-08,-2.18606924559119,0.472317292
6,1,0.999999965726362,2.46279567969872e-08,-2.18606924559119,0.180982
2,1,1,0,-2.10873524363575,0.132918625
4,1,0.999999974182962,3.16290405722416e-08,-2.1087352036336,0.012081875
5,1,0.999999484264221,6.3572885719073e-07,-2.10873520363575,0.136372083
6,1,0.999999974181874,3.16333853454731e-08,-2.10873520363575,0.260109459
2,1,1,0,-1.42378253205452,0.153519917
4,1,-0.999999972824834,2.95479888656866e-08,-1.03182174493792,0.011480292
5,1,0.999999977047336,4.07625218900692e-08,-1.42378249205452,0.116225333
6,1,0.999999977047336,4.0762521923145e-08,-1.42378249205472,0.265739666
2,11,0.49516862474735,0.775660704095865,-0.674121091299329,0.090281792
4,11,0.498655674153168,0.768654013053185,-0.676321399291518,0.015297958
5,11,-0.999999523739192,7.36955030370403e-07,-1.02073298160519,0.1395835
6,11,-0.999999523738614,7.36953148988903e-07,-1.02073298160599,0.261030292
2,11,0.458601397434146,0,-1.32293917413408,0.103995834
4,11,-0.623342513801187,0.781948726544714,-1.37125865743142,0.012246875
5,11,-0.623342587928736,0.781948810108239,-1.37125873898066,0.164568042
6,11,-0.623342508869065,0.781948725216416,-1.37125873898048,0.267669375
2,11,-0.526397699557595,0.0514137298173517,-1.33839699518079,0.082594916
4,11,-0.522974840330847,0.0589838357995813,-1.34173684335586,0.018432542
5,11,-0.522974840340955,0.0589838358058683,-1.34173684336886,0.181764416
6,11,-0.522974840336765,0.05898383585296,-1.3417368433761,0.397808875
2,11,0.371390998636905,0.928476561972074,-0.763209180659509,0.150371584
4,11,-0.362741825003145,2.15381695224018e-08,-1.06702148392238,0.023430083
5,11,-0.362742148203742,4.30766864495324e-07,-1.06702148392238,0.241978375
6,11,-0.362742148209819,4.30767931799805e-07,-1.06702148392238,0.458007792
2,11,0.0516710675477687,0.134282550993432,-0.835562337175029,0.082602667
4,11,0.440773076943781,0.897618420084647,-0.987012365343864,0.015289208
5,11,0.440773076932136,0.897618420091443,-0.987012429274972,0.140342042
6,11,0.44077307781704,0.897618418648548,-0.987012429274955,0.30846275
2,21,-0.926066510255238,0.152419687344083,-0.865724793690547,0.094362583
4,21,0.68156961458681,0.731753129953,-0.491109519291978,0.019877375
5,21,0.681569406630424,0.731752729759639,-0.867940917366947,0.228844792
6,21,0.681569614586849,0.73175312995297,-0.867940917366961,0.3529775
2,21,0.806349518502099,0.591439307124098,-0.640633240998947,0.131498958
4,21,0.797113501946067,0.603828573108108,-0.646179257622482,0.018440792
5,21,-0.563324168878043,0.826235827845451,-0.646179257622481,0.175535625
6,21,0.79711338802687,0.60382849178113,-0.646179257622479,0.400893792
2,21,0.353333191490031,0.935497544513864,-0.895513427220888,0.090289583
4,21,0.358339298886174,0.933591166470464,-0.900042030269248,0.023593541
5,21,0.358339298886737,0.933591166469218,-0.900042085662327,0.176728083
6,21,0.358339292478601,0.933591104561713,-0.900042089355214,0.4482315
2,21,0.357499288154764,0.454221655293738,-0.758808149933851,0.093965917
4,21,-0.897552087537317,6.74425494006177e-07,-0.771006256736111,0.020274959
5,21,-0.897552087554944,6.74425345881802e-07,-0.77100625675679,0.234741375
6,21,0.357831254504265,0.452914505862216,-0.771006659283098,0.513284625
2,21,0.0179425888159931,0.331143952745461,-0.992387447891633,0.082503792
4,21,-0.799048051707965,0.158359919383225,-0.962665428527721,0.019615875
5,21,-0.755013058265523,0.157031321117544,-0.99560205336406,0.248370125
6,21,-0.542164967314265,0.145706676199373,-0.995602800876888,0.502332041
2,31,0.340871698467783,0.75846898897913,-0.466701379221188,0.259891708
4,31,0.540199633155933,0.500473838282566,-0.510334145972147,0.029724958
5,31,0.540199678872648,0.500473930529132,-0.513051007613312,0.202072458
6,31,0.540199678851042,0.500473930516175,-0.513051331790299,0.447937417
2,31,0.556424499495151,0.515835230724239,-0.622402717937415,0.128425167
4,31,-0.72944798500518,0.684035753808542,-0.758519994052142,0.020317375
5,31,-0.729447382621864,0.684034807302079,-0.766356493691878,0.246381792
6,31,-0.729448153702153,0.684036018869711,-0.766357323346265,0.456124959
2,31,-0.550344288453524,0.834937820539101,-0.664931161041808,0.164423875
4,31,0.639742850015207,4.32734754095449e-07,-0.693539031513219,0.031835542
5,31,0.639742850015202,4.32734752459233e-07,-0.693539031513223,0.226352125
6,31,-0.544243651979893,0.838927160358179,-0.693539031513219,0.677008375
2,31,0.465393410106993,0.885103933913404,-0.621887055037137,0.096772083
4,31,0.467760179780069,0.883850022263151,-0.624533431314993,0.034317291
5,31,-0.689292095795968,0.724483494586099,-0.673429263910377,0.230822041
6,31,-0.689292095795968,0.724483494586098,-0.673429263910378,0.512696125
2,31,0.566402238606716,0.571791584003172,-0.413451179913119,0.123638875
4,31,0.345856368401906,0.355090194335069,-0.390269744927109,0.022141542
5,31,-0.856632653611271,7.89228928466493e-07,-0.632243995854588,0.234900084
6,31,-0.856632653587829,7.89233104257859e-07,-0.632244331928772,0.5389195
2,41,-0.439361607500019,0.630583683955109,-0.694979985230172,0.193547584
4,41,0.974283779111929,0.225318373562462,-0.590381158281718,0.042343833
5,41,0.974283779076008,0.225318373553741,-0.697363619004847,0.2613795
6,41,-0.438398851214896,0.620427597369142,-0.697363804540633,0.510962541
2,41,0.342285766305672,0.75538988244412,-0.444731736797808,0.13245525
4,41,0.339501105684393,0.751730179029206,-0.447947081701978,0.016315291
5,41,0.999999974646062,2.04422422589307e-08,-0.536162722734406,0.229012917
6,41,0.339501075877361,0.751730029749793,-0.536162722734408,0.492614459
2,41,-0.331126175678006,0.572433882609519,-0.399006979233829,0.132958292
4,41,0.999902311839937,0.0139173259735405,-0.412103345964745,0.027703416
5,41,0.999902311854774,0.0139173260587536,-0.45958740722432,0.218751125
6,41,0.428314031324458,0.903629345763026,-0.46572062747397,0.491685583
2,41,0.172404245554086,0.0534627227961691,-0.481964059565316,0.251673
4,41,-0.955675796009666,0.294417825765454,-0.387506491624711,0.0395175
5,41,-0.955675796071305,0.294417825842379,-0.387506843346508,0.231866042
6,41,-0.955675614336931,0.29441760162735,-0.426307881386961,0.484186084
