type,size,x1,x2,fmin,time
2,1,1,0,-1.91881295621809,0.154985542
5,1,-1,0,-1.03401980276681,0.618538083
3,1,1,0,-1.91881295621809,0.68059375
4,1,0.999999538320855,7.95649114608549e-07,-1.91881215453294,0.603807333
2,1,1,0,-2.48901646046305,0.141411458
5,1,-1,0,-1.23871669619609,0.860147625
3,1,1,0,-2.48901646046305,0.775028334
4,1,0.999999542176226,8.19746219481098e-07,-2.48901565788052,0.020315583
2,1,-1,0,-3.00001135531241,0.127374667
5,1,-1,0,-3.00001135531241,0.286911375
3,1,-1,0,-3.00001135531241,0.997294458
4,1,-0.999999761075909,8.13726361215768e-06,-3.00001049744684,0.012887958
2,1,-0.0223693502284359,0.999749774778848,-2.34918752860809,0.173886958
5,1,-1,0,-1.69725417179122,0.355166709
3,1,-0.0208034969224164,0.999783583839922,-2.34918682291174,5.39381725
4,1,-0.022370741252062,0.999749341552647,-2.34918712660815,0.0226095
2,1,1,0,-2.49557301389823,0.146299542
5,1,-1,0,-1.7147540410747,3.353570709
3,1,1,0,-2.49557301389823,0.765145708
4,1,0.999999972604357,2.92653889076558e-08,-2.49557297389823,0.02209075
2,11,0.764416572545621,0.562118007805062,-0.999772836509289,0.12107775
5,11,-1,0,-0.568826197967283,1.616941584
3,11,0.764356277065915,0.562017328520827,-0.999693567902415,0.368629375
4,11,-0.559451787612257,0.828862741919964,-0.661816368081217,0.031549208
2,11,-0.0202534473479819,0.172929842790211,-1.06115764855663,0.081164333
5,11,-1,0,-0.324006513690835,2.375911625
3,11,-0.0207585981920358,0.172958841383002,-1.06165567430546,0.224700334
4,11,-0.0243172583168052,0.173358389691517,-1.06520969893289,0.019941666
2,11,0.223150476557932,0.765187280533831,-1.16374945509321,0.073448375
5,11,-1,0,-0.221582107521432,1.915424917
3,11,0.223148990422413,0.765212538748068,-1.16375183107464,0.164691083
4,11,0.219064134112549,0.761632940371711,-1.16771379609374,0.017145916
2,11,0.682716277809192,0.680051282811815,-1.12792778578397,0.084998917
5,11,-1,0,-0.400006841817202,1.110868083
3,11,0.683291643160063,0.679980751523578,-1.12809508010288,0.2055545
4,11,0.689361895495643,0.679258940067258,-1.12989706018601,0.022207417
2,11,0.953236044804807,0.302226807025598,-1.17717939428273,0.099756
5,11,-1,0,-0.861404895642749,1.045586792
3,11,-0.80442987503901,0,-0.999215353436248,0.264820125
4,11,-0.982413624396013,0.186708827496269,-1.01209490312074,0.024329334
2,21,0.102972247477294,0.994684229416288,-0.901459587689669,0.131832958
5,21,-1,0,-0.416490472190268,2.171816917
3,21,0.103440471506319,0.994635646281869,-0.901652192608511,0.483194709
4,21,0.117223991539105,0.993105478163561,-0.907327365300946,0.033509792
2,21,-0.968604952904277,0.248604998359452,-0.926008488548785,0.220783125
5,21,-1,0,-0.821994436594278,0.386986625
3,21,1,0,-0.559822771319612,2.453225291
4,21,-0.973729212330988,0.22770871526406,-0.928528293511051,0.024674333
2,21,0.955826444404588,0.293931638611571,-0.284668551342981,0.182410375
5,21,-1,0,-0.367071311591802,0.34138675
3,21,0.9562715924001,0.292480155854337,-0.283720000374919,0.539336292
